Arist(s) Name,Track Name,Album Name,Length,SpotifyID,Release Date
Retirement Party , Truck Stop Casino , Somewhat Literate , 00:03:29 , 1V8TcDVfrUuL7qSC9Rn7UD , 2018-05-25
The Original Crooks and Nannies , Carry Me , Ugly Laugh , 00:03:07 , 5Nwsp5AqI7dbAtPUmwgJ7G , 2016-03-12
Club Sofa , Myspace 2009 , Club Sofa , 00:02:39 , 4rpKFAoXABSkMR4FZymUWA , 2018-09-08
Ken Ashcorp , Blue , Blue , 00:04:15 , 2OKH8AVGrQXcBgTkOa5s3z , 2016-12-24
It Looks Sad. , Creature , Kaiju , 00:04:00 , 4GV9tK5QPaD3gVSJvMxUN0 , 2015-06-26
Anamanaguchi , Lorem Ipsum (Arctic Anthem) , [USA] , 00:04:49 , 47eqsTEkth7jXvTdH1pukG , 2019-10-25
Pinegrove , Old Friends , Cardinal , 00:03:27 , 6m1vXqsfgF4p0mvxzQ1eQA , 2016-02-12
Ken Ashcorp , Wear , Wear , 00:05:23 , 6JDbZwrCvhsgWqN16ihBJd , 2015-06-13
Lincoln , How I Survived Bobby Mackey's Personal Hell , A Constant State of Ohio , 00:03:07 , 4CM9SADUN91UE0yTS9NRxT , 2017-01-27
Retirement Party , Meet Me in Montauk , Strictly Speaking , 00:04:15 , 31bPa4nlha4lWNIORcF435 , 2017-01-01
Snail Mail , The 2nd Most Beautiful Girl In The World , Habit , 00:02:13 , 1dLwrUC23Mt9YzmRlBpb3s , 2016
Anamanaguchi , Speak To You [Memory Messengers] , [USA] , 00:01:41 , 7p92m4ZDORt0EmLaNjGbfQ , 2019-10-25
standards , Pineapple , Friends , 00:02:55 , 2lyO4Da4ZPbK8cpC2eo3CQ , 2019-03-08
Retirement Party , Passion Fruit Tea , Somewhat Literate , 00:02:32 , 6nJkqmnE7I8qAQlDwBDRmC , 2018-05-25
Snail's House , Cosmo Funk , エイリアン☆ポップ II , 00:04:48 , 0fHaaCJcMQtXiXd3yQVqzq , 2019-01-18
Jank , Spilt To Bill , Awkward Pop Songs , 00:04:23 , 7gQvOll4t7PSHWviyZzJlG , 2016-04-06
Makari , Better , Hyperreal , 00:03:38 , 5n3VJjpMizMub8keWWk03l , 2018-08-03
Retirement Party , Take Your Vitamins , Somewhat Literate , 00:03:22 , 1p891i3JqB1YcsqYtF5gEs , 2018-05-25
Blubird , Mischief , Delusions Of Grandeur , 00:03:25 , 1ng5wfmSV8IRczCVLJlX6e , 2017-01-13
The Color and Sound , Cigarettes , Peace of Mind , 00:02:44 , 02j9QwtC8RbM5AuJEqeb9l , 2014-09-16
Sidney Gish , Presumably Dead Arm (617 Sessions) , Presumably Dead Arm (617 Sessions) , 00:03:34 , 7iFmqWr2KDvNJt9ZCm7V21 , 2017-10-20
Retirement Party , Jericho , Somewhat Literate , 00:02:17 , 6hDANlSMqJTTZIZV3wMoiR , 2018-05-25
FantomenK; meganeko , Crystal Tokyo , Crystal Tokyo , 00:05:28 , 6PbUDvtc6Oom5pRbPnxKz2 , 2017-05-30
Mom Jeans. , Edward 40hands , Best Buds , 00:04:26 , 2M85m6zeSzUCOHfHsvzLcy , 2016-07-03
The Mellowells , Author of Modern Thought , Shindy , 00:05:29 , 2eejVgDjal1oQLcQXn8FA9 , 2014-12-09
Soft Cough , Sea Dogs & Pyrite , Soft Cough , 00:04:28 , 6i3pI6stygvHzOGLEIHJyL , 2016-11-22
Charlie Burg , To Dance Is To Love , Three, Fever , 00:03:33 , 50QNpowB5bvfcMobBJ9Vb6 , 2019-01-04
Chris Farren , The Way That I Love U Has Changed , The Way That I Love U Has Changed , 00:03:18 , 2mioSt2A1SVCbgZIdtw7Lw , 2018-04-29
I Kill Giants , Balance , Let It Out , 00:04:26 , 6U8iJR8PSjJndaj7pDMGQu , 2011-09-30
Retirement Party , Shoulder It , Somewhat Literate , 00:02:51 , 6ASwi0SqOIGUtU8F0Sp8JH , 2018-05-25
Louie Zong , Baguette Bop , Jazz , 00:02:06 , 0jRGaI9MweR4wgpNfzILEZ , 2020-02-28
Anamanaguchi , We Die , [USA] , 00:06:11 , 1AzqfT0VfqRvjJQOJpSMPP , 2019-10-25
Tessa Violet , Crush , Crush , 00:03:36 , 6q7Tz67loOULIPEXo941hk , 2018-06-15
Retirement Party , That's How People Die , Somewhat Literate , 00:03:19 , 02kXbiNz7iFdCMDQ0y8EPY , 2018-05-25
Cat Company , Sad Dance , Cat Company , 00:04:47 , 6hz1XiOAeLckjoKyikOkSd , 2018-05-04
Anamanaguchi , Air On Line , [USA] , 00:04:58 , 4KnQbVbzW4iP3xmso7KAdt , 2019-10-25
The Mellowells , Melting Vibes , Melting Vibes , 00:03:48 , 5ig9P3W7ve7979HjfS2UNA , 2016-08-12
Retirement Party , Hall Beach , Strictly Speaking , 00:03:18 , 70ldI72JO4oUpy7jIA8OgO , 2017-01-01
