Arist(s) Name,Track Name,Album Name,Length,SpotifyID,Release Date
Melt , Waves , Waves , 00:03:05 , 1xAIGZZpBcGU3eaXspeUh8 , 2020-10-09
Penelope Scott , Sweet Hibiscus Tea , The Junkyard 2 , 00:02:25 , 4ZUv5GgKcziw6ZjyxUfudU , 2020-05-13
The Mellowells , Author of Modern Thought , Shindy , 00:05:29 , 2eejVgDjal1oQLcQXn8FA9 , 2014-12-09
The Districts , Young Blood , A Flourish and a Spoil , 00:08:40 , 2wb2FptR9dbAw9TIQpMfZ1 , 2015-02-10
Melt , Sour Candy , Sour Candy , 00:04:55 , 5gRCBF8BbbQA4M7wRFjqxg , 2017-05-13
Larry and His Flask , This Remedy , This Remedy , 00:05:02 , 6j3qGg1WF00HAGjJluVbGP , 2018-10-12
Penelope Scott , Cigarette Ahegao , Public Void , 00:03:03 , 6UYJYgY8VRo6mKrhgTe1CF , 2020-09-25
Shortly , Spare Time , Spare Time , 00:03:54 , 2onUG1p7ZUm3IuZXTefHhp , 2018-05-24
Melt , Hours , West Side Highway , 00:04:03 , 1r6Nlj8DB4jcOgCiVc7azX , 2021-02-19
Nervous Dater , Bad Spanish , Don't Be a Stranger , 00:03:13 , 793ILNfrm9dQyp3k0P53HG , 2017-09-29
The Original Crooks and Nannies , Carry Me , Ugly Laugh , 00:03:07 , 5Nwsp5AqI7dbAtPUmwgJ7G , 2016-03-12
Ken Ashcorp , Wear , Wear , 00:05:23 , 6JDbZwrCvhsgWqN16ihBJd , 2015-06-13
Melt , Don't Want Me , Don't Want Me , 00:03:33 , 3qiOr0F0kiaHVahLPgG3DA , 2020-12-11
The Mellowells , Melting Vibes , Melting Vibes , 00:03:48 , 5ig9P3W7ve7979HjfS2UNA , 2016-08-12
Tessa Violet , Crush , Bad Ideas , 00:03:36 , 6MYJv37Mpj5njLLbxKWNun , 2019-10-25
Beach Bunny , Sports , Sports , 00:02:44 , 77G0k1La0c5Dw8bAFANcyp , 2018-01-01
The Altogether , Sophie , Look Up , 00:04:07 , 35z474FlwP73zQkK4KtsYv , 2018-01-22
Melt , Oh Brother , Oh Brother , 00:04:02 , 0fEzv6PIvl1lamktLNmz5t , 2018-04-05
Pretoria , Keep Two-Stepping , Keep Two-Stepping , 00:03:21 , 273QLNes7AQUsoFWKSNlPQ , 2019-04-20
Beach Bunny , Love Sick , Blame Game , 00:03:38 , 6Sjz9iggXAz0BMd8XVoPfW , 2021-01-15
Lincoln , How I Survived Bobby Mackey's Personal Hell , A Constant State of Ohio , 00:03:07 , 4CM9SADUN91UE0yTS9NRxT , 2017-01-27
Mom Jeans. , Edward 40hands , Best Buds , 00:04:26 , 6MExehlWTF49eRhXAXRpB1 , 2016-07-03
Jim Alxndr , Fruit Salad , Fruit Salad , 00:03:35 , 5njdLgpnksJJdOLj8p4eWV , 2018-07-23
Beach Bunny , Blame Game , Blame Game , 00:03:34 , 2vyk2UGRkpXa9hyAtt3RFk , 2021-01-15
Charlie Burg , To Dance Is To Love , Three, Fever , 00:03:33 , 50QNpowB5bvfcMobBJ9Vb6 , 2019-01-04
Penelope Scott , Rät , Public Void , 00:03:14 , 25z6kpmIwkCUqk2IORrJ5v , 2020-09-25
Ken Ashcorp , Blue , Blue , 00:04:15 , 2OKH8AVGrQXcBgTkOa5s3z , 2016-12-24
Beach Bunny , Boys , Crybaby , 00:03:54 , 39A3BBViZmgYtXeStm9tq4 , 2017-06-01
Charlie Burg , Instead of My Room , Live in Peter's Attic , 00:03:17 , 1xU60s0xQaGkOJR9qCFZBR , 2016-12-20
Melt , Stupid in Love , Stupid in Love , 00:04:34 , 6w48d9Mixf7VCWOGcrZ3Qw , 2019-11-15
Snail's House , Cosmo Funk , エイリアン☆ポップ II , 00:04:48 , 0fHaaCJcMQtXiXd3yQVqzq , 2019-01-18
